Original_Image_Name,Original_License_Number (Eng),Original_License_Number (Bangla),Detected_License_Number
1-RVRND-Test.png,Dhaka Metro Ga 328301,ঢাকা মেট্রো গ ৩২৮৩০১,ঢাকা মেে্ট্রো গ ৩২৪৮৩০১
2-RVRND-Test.jpg,Natore Ha 127394,নাটোর হ ১২৭৩৯৪,নাটোর হ ১২-৭৩৯৪
3-RVRND-Test.jpg,Raj Metro Ha 123497,রাজ মেট্রো হ ১২৩৪৯৭,রাক্ষ যে-্ট্রো: স ১২-৩৪৯
4-RVRND-Test.jpg,Naogaon La 116003,নওগাঁ ল ১১৬০০৩,নওগা: ল ১১-৬০০৩
5-RVRND-Test.jpg,Bagura Ta 112139,বগুড়া ট ১১২১৩৯,
6-RVRND-Test.jpg,Dhaka Metro Ba 120924,ঢাকা মেট্রো ব ১২০৯২৪,মেট্রো ১১০৯২৪
7-RVRND-Test.jpg,Jessore La 126898,যশোর ল ১২৬৮৯৮,যশোর: ল ১২-৬৮৯৮
8-RVRND-Test.jpg,Nilphamari La 112948,নীলফামারী ল ১১২৯৪৮,নীলফামারী ১ ২৯৪৮
9-RVRND-Test.jpg,Dhaka Metro Gha 112817,ঢাকা মেট্রো ঘ ১১২৮১৭,Nov-১৭
10-RVRND-Test.jpg,Sirajganj Na 110028,সিরাজগঞ্জ ন ১১০০২৮,( সিরাজগঞ্জ ন ১১-০০২৮
11-RVRND-Test.jpg,Dhaka Metro Ga 157111,ঢাকা মেট্রো গ ১৫৭১১১,(81 :3.3' ১৫-৭১১১
12-RVRND-Test.jpg,Sirajganj Ha 121545,সিরাজগঞ্জ হ ১২১৫৪৫,{সর{জ্গঞ্জ চ ১২-১৫৪৫
13-RVRND-Test.jpg,Dhaka Metro Ta 116306,ঢাকা মেট্রো ট ১১৬৩০৬,
14-RVRND-Test.jpg,Jamalpur La 111134,জামালপুর ল ১১১১৩৪,সামাসপুর প ১১-১১৩৪
15-RVRND-Test.jpg,Dhaka Metro Ga 150173,ঢাকা মেট্রো গ ১৫০১৭৩,মঢ' ১৫-১১৭৩
16-RVRND-Test.jpg,Chatto Metro Da 020006,চট্টো মেট্রো ড ০২০০০৬,
17-RVRND-Test.jpg,Dhaka Metro Ha 574480,ঢাকা মেট্রো হ ৫৭৪৪৮০,58ং@}} { ৭-8897)
18-RVRND-Test.jpg,Dhaka Metro La 315020,ঢাকা মেট্রো ল ৩১৫০২০,মেট্রী ৭ ৩১-৫০২0
19-RVRND-Test.jpg,Dhaka Metro Ga 298284,ঢাকা মেট্রো গ ২৯৮২৮৪,৮141 .:'!;' ২৯-৮২৮৪
20-RVRND-Test.jpg,Dhaka Metro Ha 455681,ঢাকা মেট্রো হ ৪৫৫৬৮১,[; 7:' কট্রা: হ ৪৫-^৬৮১
21-RVRND-Test.jpg,Mymensingh La 116749,ময়মনসিংহ ল ১১৬৭৪৯,ময়মনসিং ১১-৬৭
22-RVRND-Test.jpg,Natore La 116276,নাটোর ল ১১৬২৭৬,{
23-RVRND-Test.jpg,Dhaka Metro Ga 269985,ঢাকা মেট্রো গ ২৬৯৯৮৫,1ি14' :4টর1 গ1 ২৬-৯৯৮৫
24-RVRND-Test.jpg,Dhaka Metro Bha 111891,ঢাকা মেট্রো ভ ১১১৮৯১,ঢাকা মেট্রো ভ ১১-১৮৯১
25-RVRND-Test.jpg,Thakurgaon Ha 130244,ঠাকুরগাঁও হ ১৩০২৪৪,ঠাকুরগাও- হ ১৩-0388
26-RVRND-Test.jpg,Dhaka Metro Ga 353197,ঢাকা মেট্রো গ ৩৫৩১৯৭,৩০: ১১৭
27-RVRND-Test.jpg,Dhaka Metro Ga 311323,ঢাকা মেট্রো গ ৩১১৩২৩,1141 '#.'' ৩১ ১৬২৩
28-RVRND-Test.jpg,Naogaon La 117406,নওগাঁ ল ১১৭৪০৬,নঙগ  . ল ১১-৭৪0৬
29-RVRND-Test.jpg,Dhaka Metro Ga 398924,ঢাকা মেট্রো গ ৩৯৮৯২৪,ঢাকা মে-ে্ট্রো্গ ৩৯ং৮৯২৪
30-RVRND-Test.jpg,Dhaka Metro Ga 325029,ঢাকা মেট্রো গ ৩২৫০২৯,ঢাকা মেট্রোগ ৩২৪৫০২৯
31-RVRND-Test.jpg,Shariatpur La 115443,শরীয়তপুর ল ১১৫৪৪৩,
32-RVRND-Test.jpg,Dhaka Metro Ga 297344,ঢাকা মেট্রো গ ২৯৭৩৪৪,ঢাকা . ৫ট্র] ২৯-৭৩৪৪
33-RVRND-Test.jpg,Habiganj La 112034,হবিগঞ্জ ল ১১২০৩৪,হাবিগঞ্জ ল ১১-১০98 /
34-RVRND-Test.jpg,Dhaka Metro Gha 180521,ঢাকা মেট্রো ঘ ১৮০৫২১,ঢাকা মেট্রো: ১৮-০৫২১
35-RVRND-Test.jpg,Raj Metro Cha 510056,রাজ মেট্রো চ ৫১০০৫৬,রাজ মেট্রো-চ ৫১২০০৫৬
36-RVRND-Test.jpg,Dhaka Metro Ga 222829,ঢাকা মেট্রো গ ২২২৮২৯,ঢাব! দদ; { ১৯৪২৮২১
37-RVRND-Test.jpg,Jamalpur La 111614,জামালপুর ল ১১১৬১৪,জামালপুর: ল -১৬১8
38-RVRND-Test.jpg,Noakhali La 110185,নোয়াখালী ল ১১০১৮৫,নোয়াখালী-ল ১১০১৮৫
39-RVRND-Test.jpg,Dhaka Metro Ga 211076,ঢাকা মেট্রো গ ২১১০৭৬,ঢাকা মেট্রো গ ২১-১০৭৬
40-RVRND-Test.jpg,Dhaka Metro Ta 130439,ঢাকা মেট্রো ট ১৩০৪৩৯,চাকা ফেট্র ট ১৩-০৪৩১
41-RVRND-Test.jpg,Moulvibazar Ha 124453,মৌলভীবাজার হ ১২৪৪৫৩,<-880
42-RVRND-Test.jpg,Dhaka Metro Ba 156626,ঢাকা মেট্রো ব ১৫৬৬২৬,ঢাকা মেইা-ব ১৫-৬৬২৬
43-RVRND-Test.jpg,Dhaka Metro Ga 333868,ঢাকা মেট্রো গ ৩৩৩৮৬৮,ঢাকা মেেট্রো গ ৩৩-৩৮৬৮
44-RVRND-Test.jpg,Rangamati La 110763,রাঙ্গামাটি ল ১১০৭৬৩,রাসামাটি: ল ১১-০৭৬৩
45-RVRND-Test.jpg,Khulna La 112916,খুলনা ল ১১২৯১৬,খুলনা: ল ; ১১-২৯১৬
46-RVRND-Test.jpg,Dhaka Metro Ga 153750,ঢাকা মেট্রো গ ১৫৩৭৫০,ঢাকা মে্রোগ ১৫-৩৭৫০
47-RVRND-Test.jpg,Pabna Ha 156366,পাবনা হ ১৫৬৩৬৬,পাবনা- হ ১৫-৬৩৬৬
48-RVRND-Test.jpg,Dhaka Metro Ga 255410,ঢাকা মেট্রো গ ২৫৫৪১০,ঢাশ য1 ৫ ৫830
49-RVRND-Test.jpg,Dhaka Metro Ga 340282,ঢাকা মেট্রো গ ৩৪০২৮২,ঢাক/ ৩8:0২৮২
50-RVRND-Test.jpg,Dhaka Metro Bha 110627,ঢাকা মেট্রো ভ ১১০৬২৭,541 :মদরো ৪ ১১-০৬২৭
51-RVRND-Test.jpg,Khulna Metro Ha 122273,খুলনা মেট্রো হ ১২২২৭৩,খুলনা মেত্] ঠ ১১২'১১৭
52-RVRND-Test.jpg,Dhaka Metro Ga 255410,ঢাকা মেট্রো গ ২৫৫৪১০,"ঢ141 মেট্র 91 ১৫-৫83"""
53-RVRND-Test.jpg,Jamalpur Ha 124601,জামালপুর হ ১২৪৬০১,জামালপুর: হ ১২-৪৬০
54-RVRND-Test.jpg,Dhaka Metro Ga 359895,ঢাকা মেট্রো গ ৩৫৯৮৯৫,চা7:*31 91ষ১৮৯৮
55-RVRND-Test.jpg,Tangail Ha 147773,টাঙ্গাইল হ ১৪৭৭৭৩,ঢ1 :গাচল: ১৪-৭৭9'
56-RVRND-Test.jpg,Dhaka Metro Cha 162777,ঢাকা মেট্রো চ ১৬২৭৭৭,1.203472222
57-RVRND-Test.jpg,Dhaka Metro Ta 223375,ঢাকা মেট্রো ট ২২৩৩৭৫,
58-RVRND-Test.jpg,Dhaka Metro Ga 149141,ঢাকা মেট্রো গ ১৪৯১৪১,
59-RVRND-Test.jpg,Jessore Ta 115137,যশোর ট ১১৫১৩৭,যর্শীক ৩ ১৯৫১৪৭
60-RVRND-Test.jpg,Chatto Metro Na 110449,চট্টো মেট্রো ন ১১০৪৪৯,চট্টো: :68!6[ ১১ 088৯
61-RVRND-Test.jpg,Khagrachari Ha 113361,খাগড়াছড়ি হ ১১৩৩৬১,খাগড়াছড়ি: হ ১১-৩৩৬১
62-RVRND-Test.jpg,Patuakhali La 111813,পটুয়াখালী ল ১১১৮১৩,পটয়াগারী ';1 ১১ ১৮১৬
63-RVRND-Test.jpg,Dhaka Metro Ga 222222,ঢাকা মেট্রো গ ২২২২২২,ঢানং ষ2দ1 ২২:২২২২
64-RVRND-Test.jpg,Dhaka Metro Bha 140082,ঢাকা মেট্রো ভ ১৪০০৮২,ঢাকা মেট্রো-ভ ১৪ ০০৮২
65-RVRND-Test.jpg,Khulna Metro Ka 110036,খুলনা মেট্রো ক ১১০০৩৬,খুলনা মে্ট্রো ক ১১২০০৩৬
66-RVRND-Test.jpg,Khulna Metro Ta 111636,খুলনা মেট্রো ট ১১১৬৩৬,
67-RVRND-Test.jpg,Narsingdi Na 110185,নরসিংদী ন ১১০১৮৫,ধরসিংদা ম ১১-০১৮৫
68-RVRND-Test.jpg,Dhaka Metro Ga 422272,ঢাকা মেট্রো গ ৪২২২৭২,ঢাকা নে-ট্রটা গ ৪-:১২৭২
69-RVRND-Test.jpg,Chatto Metro Ma 511032,চট্টো মেট্রো ম ৫১১০৩২,6ট্ যেট্রো ঘ ৫১-১০৩২
70-RVRND-Test.jpg,Dhaka Metro Ba 020004,ঢাকা মেট্রো ব ০২০০০৪,বাজ যেট্রো ? 93-0008
71-RVRND-Test.jpg,Dhaka Metro Ga 318435,ঢাকা মেট্রো গ ৩১৮৪৩৫,ঢাকা খেট্রো গ ৩১-৮৪৩৫
72-RVRND-Test.jpg,panchagarh La 111022,পঞ্চগড় ল ১১১০২২,পশ্ুগড়-ল ১১-১০২২
73-RVRND-Test.jpg,Dhaka Metro Ga 250339,ঢাকা মেট্রো গ ২৫০৩৩৯,
74-RVRND-Test.jpg,Khulna Metro Ta 111251,খুলনা মেট্রো ট ১১১২৫১,
75-RVRND-Test.jpg,Dhaka Metro Gha 116447,ঢাকা মেট্রো ঘ ১১৬৪৪৭,ট14' ১১-৬88৭
